track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002351,01/09/2025 19:31,01/09/2025 19:31,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T123138.jpg,crop_2,moth,Lepidoptera Macros,Trilocha varians,Geometridae,Crocallis,Crocallis elinguaria,2.263870886281887,0,TRUE
Track_002352,01/09/2025 19:35,01/09/2025 19:35,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T123540.jpg,crop_3,moth,Lepidoptera Macros,Trilocha varians,Lasiocampidae,Malacosoma,Malacosoma castrense,2.3198245733820286,0,TRUE
Track_002353,01/09/2025 19:35,01/09/2025 19:35,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T123540.jpg,crop_4,moth,Lepidoptera Macros,Trilocha varians,Noctuidae,Autographa,Autographa excelsa,2.3786365065834807,0,TRUE
Track_002354,01/09/2025 19:37,01/09/2025 19:37,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T123741.jpg,crop_1,nonmoth,Lepidoptera Macros,Stenoptilodes taprobanes,Pieridae,Anthocharis,Anthocharis cardamines,1.5032360804091167,0,TRUE
Track_002355,01/09/2025 19:43,01/09/2025 19:43,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T124344.jpg,crop_1,nonmoth,Lepidoptera Macros,Lebeda nobilis,Lasiocampidae,Malacosoma,Malacosoma castrense,,0,TRUE
Track_002356,01/09/2025 19:45,01/09/2025 19:45,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T124545.jpg,crop_1,nonmoth,Lepidoptera Macros,Stenoptilodes taprobanes,Noctuidae,Hofmannophila,Hofmannophila pseudospretella,1.7660144286320285,0,TRUE
Track_002357,01/09/2025 19:47,01/09/2025 19:47,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T124746.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002358,01/09/2025 19:49,01/09/2025 19:49,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T124947.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002359,01/09/2025 19:51,01/09/2025 19:51,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T125148.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002360,01/09/2025 19:53,01/09/2025 19:53,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T125349.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002361,01/09/2025 19:55,01/09/2025 19:55,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T125550.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002362,01/09/2025 19:57,01/09/2025 19:57,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T125751.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002363,01/09/2025 19:59,01/09/2025 19:59,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T125952.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002364,01/09/2025 20:01,01/09/2025 20:01,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130153.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002365,01/09/2025 20:03,01/09/2025 20:03,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130354.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002366,01/09/2025 20:05,01/09/2025 20:05,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130555.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002367,01/09/2025 20:07,01/09/2025 20:07,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130756.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002368,01/09/2025 20:09,01/09/2025 20:09,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130957.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002369,01/09/2025 20:09,01/09/2025 20:09,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T130957.jpg,crop_3,moth,Lepidoptera Macros,Trilocha varians,Lasiocampidae,Eriogaster,Eriogaster arbusculae,,0,TRUE
Track_002370,01/09/2025 20:11,01/09/2025 20:11,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T131158.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002371,01/09/2025 20:13,01/09/2025 20:13,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T131359.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002372,01/09/2025 20:16,01/09/2025 20:16,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T131600.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002373,01/09/2025 20:18,01/09/2025 20:18,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T131801.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002374,01/09/2025 20:20,01/09/2025 20:20,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132002.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002375,01/09/2025 20:22,01/09/2025 20:22,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132203.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002376,01/09/2025 20:24,01/09/2025 20:24,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132404.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002377,01/09/2025 20:26,01/09/2025 20:26,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132605.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002378,01/09/2025 20:28,01/09/2025 20:46,10,10,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132806.jpg,crop_1,nonmoth,Lepidoptera Macros,Sphenarches anisodactylus,Geometridae,Idaea,Idaea rusticata,0.205485879,18.15,FALSE
